Function List:

: LrrrVariableResolverFunction
#: FirstGlobalElement
$: GetBackreference
%: Modulus
*: Multiplication
+: Addition
,: ParamSplitFunction
<: LessThan
=: Equals
>: GreaterThan
B: ExclusiveBoundsRange
C: ToChar
I: CreateInfiniteSequence
I: IsInteger
L: Length
N: ToNumber
P: PrintFunction
R: RangeFunction
S: Sum
U: UntilFunction
a: AddToSequence
b: ToBinary
c: Clear
f: Find
g: GetOneFromSequenceByIndex
l: SubsequenceFunction
m: GetManyFromSequenceByIndex
o: GetAllContextsValues
p: Product
r: RemoveFromSequence
s: CreateFiniteSequence
w: InfiniteWhile
|: SecondGlobalElement
¡: LastContextValue
§: GetParentParentContextLastValue
ç: DoubleContextEnd
ð: GetLastCurrentContextValue
÷: Division
Ɓ: FromBinary
Ƈ: AddToCurrentContext
Ƒ: GetAllCurrentContextValues
Ȥ: Inverse
ɠ: AddToGlobalContext
Ḃ: GetGlobalContext
Ḥ: GetCurrentContext
Ṭ: ToBaseTen
Ṿ: ConvertBase
⁻: Subtraction
